,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,is_organic
847,CC(=C)C1=CC=CC=C1,Inactive,0,True
852,CC(=O)OC1=CC(=CC(=C1OC(=O)C)OC(=O)C)C2=COC3=CC(=C(C(=C3C2=O)OC(=O)C)OC(=O)C)OC(=O)C,Inactive,0,True
853,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O.Cl,Inactive,0,True
855,C(C(CN)O)C(=O)O,Inactive,0,True
862,CCOC1=CC=CC(=C1)C(=O)C2=C(C(=C(C=C2)O)O)O,Inactive,0,True
866,CC(=O)NCCCCCC(=O)O,Inactive,0,True
873,CC12C3CCC(C1(C(=O)OC2=O)C)O3,Inactive,0,True
874,CC(=O)OCC(C(C(C(C(COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,Inactive,0,True
877,C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CCC(C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C,Inactive,0,True
893,COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O,Active,43,True
895,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,Inactive,0,True
899,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl,Inactive,0,True
911,CC(=O)OC1CC2[C@](C3[C@@]1(C4=CC(=O)OC([C@]4(CC3)C)C5=COC=C5)C)(C(CC(C2(C)C)O)O)C,Active,85,True
914,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,Inactive,0,True
922,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O.C(C(CO)(CO)N)O,Inactive,0,True
925,COC1=C(C=C(C=C1)C(=O)O)OC,Inactive,0,True
938,CC[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-],Inactive,0,True
941,C/C(=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C(=O)O)/C=C/C=C(\C)/C=C/C(=O)O,Inactive,0,True
944,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl,Inactive,0,True
948,C(C(C(C(CO)O)O)O)O,Inactive,0,True
952,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Active,62,True
959,CC1(C=CC2=C(O1)C=C3C(=C2O)C(=O)C(=CO3)C4=CC5=C(C=C4)OCO5)C,Active,41,True
963,C[C@@H]1CC2([C@@H]3[C@@](O3)(C(O2)O)C)O[C@@H]4[C@H]1[C@]5(CC[C@@]67C[C@@]68CCC(C([C@@H]8CC[C@H]7[C@@]5(C4)C)(C)C)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)C,Inactive,0,True
976,COC1=C(C=C(C=C1)C2C(CC3=C(O2)C=C(C=C3OC)OC)O)OC,Inactive,0,True
977,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl,Inactive,0,True
982,CC(C)(/C=N/OC(=O)NC)S(=O)C,Inactive,0,True
998,C[C@@H]1CC[C@H](C2=C(C[C@H]([C@H]12)OC(=O)C)C)/C=C(\C)/C(=O)O,Inactive,0,True
1002,CC(C(C1=C(C=CC(=C1)OC)OC)O)N.Cl,Inactive,0,True
1009,CC(=O)CCC(=O)C,Inactive,0,True
1014,CC(CCC=C(C)C)C1CC[C@]2([C@@]1(CCC3=C2CCC4C3(CCC(C4(C)C)OC(=O)C)C)C)C,Inactive,0,True
1018,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl.Cl,Inactive,0,True
1037,CC(=CCC1=C(C2=C(C=C1O)OC=C(C2=O)C3=CC4=C(C=C3)OCO4)O)C,Active,84,True
1046,COC1=CC2=C(C=C1)C=CC(=O)O2,Inactive,0,True
1050,C(CS)N.Cl,Inactive,0,True
1051,C1=CC=C(C=C1)C(Cl)Cl,Inactive,0,True
1059,CC(=C1CCC2(CC1C3=CC4=C(C(=C3O2)CCC(C)(C)Cl)OC56C7CC(C=C5C4=O)C(=O)C6(OC7(C)C)C/C=C(\C)/C(=O)OC)C)C,Inactive,0,True
1062,C=CCNC(=S)N,Inactive,0,True
1065,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O.Cl,Inactive,0,True
1073,CC1(O[C@@H]2[C@H](C[C@](CC2O1)(C(=O)N)O)O)C,Inactive,0,True
